Document,Class
My 21st birthday is probably going to be me drunk crying in a chilis bathroom then getting an impulse I want to believe tramp stamp,n
I can get a little drunk I get in to all the dont but on good days Im charming as fuck,n
Patron dont even get me drunk,n
This waitress was showing me the receipt last night and the whole time I was thinking god damn Im soo drunk I cant read shit lol,y
 she was drunk ,n
Im a little  drunk on you and high on summer time,n
  I think I figured it outI got my friend an Uber from NYC to central NJ and he was passed out drunk smh,n
 you were drunk when you said this Because you dont get out of bed to live this ,n
Am drunk,y
 80 of the time you are lazy 20 of it you are drunk  I know my friends well enough to find this info out,n
 of course we are drunk have you ever met us,y
We was drunk what else you wanted me to do lol,y
  fuck ya,n
Gettin high to deal w my problems Fuckin bitchesampgettin drunk as shit but these bitches gettin obnoxious They nothin to me tho,y
How to get a white girl drunk ,n
I FUCKING HATE PEOPLE WHO SAY MY CHARACTER IS DRUNK ALL THE FUCKING TIME,n
Im drunk as shit,y
So Ill be drunk texting you,n
Starting to think that texting while driving should be treated the way drunk driving is treated jail time an all,n
A drunk person is just the awesome version of a sober person,n
 yea sorry lol Im a bit drunk kid,y
Sunnis are not refugees They are the leaders These are soldiers here to take over USA Where is Boehner Drunk  ,n
Im not arguing on the phone in a party nor am I the drunk one doing the most ,n
Ive been at work for 10 minutes and Im already getting drunk,n
drunk on a Wednesday night whynot  worktomorrow softballlgames,n
Drunk or just finished her first crossfit class Its the second I swear,n
If u coerceharass ur friend to get drunkhigh and constantly encourage behavior that will affects their healthwell being Youre ugly,n
Sasha feelings hurt af Leave the club drunk and he got somebody else in the crib  WatchDFW,n
 yeah no dont trust ur drunk ass,n
Last Saturday I made my sister late for work bc I was supposed to babysit but I was too drunk to wake up Said I was never drinkin again,y
    except for Jordan he gets all drunk,n
My dad ran his head into a wall when he was drunk amp now has 3 staples in his head,n
 get drunk with me Ive been wanting to go to the bar forever,n
Waking up still drunk the next morning ltltlt,y
Am drunk whatever,y
I had a great talk with my uncle early years ago he was a drunk now he is a sober man for years now an got his kids cause there mom didnt,n
rolls her eyes and smiles Youll only get me to say that when Im drunk,n
Some peoples best interest is getting high and drunk and honestly that can fuck up your personal social skills and relationships,n
Daily Awww michaels face haha he looks drunk ,n
 Youre either tweeting drunk or this is in code 3,n
tbh i dont feel v uncomfortable when drunk girls are all on me cos its better than them being all on a possible creep that might hurt them,n
An F Scott Fitzgerald impersonator is working on getting as drunk as he pretends to be A third mans parishioners slog through frost,n
Kinda drunk and making my signature dish cheesy beans on toast cut into 8 little squares for easy eating,y
 Lmao exactly you were drunk DUH,n
 lmao idk get drunk I guess  what kinda tat you getting,n
Go home ESPN your drunk ,n
Watching Kennedy on Fox talking about drunk girls and puppy dogs bets OReilly doing puff piece with a canidate with 9 support,n
My goal is to be as drunk if not more drunk than Cory when he gets back from the bar tonightjust cuz,n
Yall I love my Katerria   she is the best ever Up and downs Drunk moments and all thats my bisshhh man Thats my Bae ,n
Aint a TV show in the world that have me waiting except maybe drunk history or south park I also enjoy we bare bears Lml,n
When we get drunk  ,n
My nana takes her wig off when shes drunk,n
 peoples true colours really come out when drunk Especially white ones lol,n
This nigga e talkin bout some remember when i was high n drunk n couldnt walk,n
Drunk in love gives me life,n
Future more lyrical than Nas Nooooo not on his best dayNas can drunk text better lyrics,n
 you get drunk from one beer though,n
I think I wanna get drunk this weekend cause I think this my last weekend home,n
What potion do I wanna get drunk off of this weekend,n
Im sure shes gonna be drunk for the whole weekend ,y
 Weston gets a little horny when he is drunk lol,n
LOOK AT HOW HOT DRUNK NIALL IS IM DYING ,n
i think karens drunk,n
 nah I dont get drunk I get coo and thats it,y
 is drunk doing her homework ok wow,n
I apologize in advance for the terrible drunk old people singing that may or may not take place on my snapchat soon,n
I DONT CARE IF HE IS A PIRATE OR NOT IT IS MY DECISION TO GET HIM DRUNK OR NOT WHY NOT ASK,n
 girl you know I come drunk,y
Just got hit on by an old drunk Hispanic guy LoveAllAges OrNah,n
I get too drunk every Wednesday,y
YOU LOOK DRUNK OMFG     michaelisdrunk ,n
Soon as I feel like Im about to fall asleep some drunk bellends start shouting outside my house  cardiganroadproblems,n
So drunk is the only way Im gonna sleep anymore Oh well my liver can handle it,y
Imma get get get get u drunk get u drunk off of my hump  my hump hump My lovely lady hump,n
A drunk bunny tried to run in front of my car Not tonight Thumper,n
  gotta wait a few years before he can do a drunk history Ha,n
  Apparently questioning peoples illness is what HW do now Id rather have drunk Brandi than watch another season of that,n
Wanna be drunk on you ,n
 Right I dont get why people waste their money getting drunk at a show anyways either People are crazy,n
Uh oh shes drunk,n
so what we get drunk,n
Creationists make it sound as though a theory is something you dreamt up after being drunk all night  Isaac Asimov,n
Drunk History is most likely the greatest idea for a series ever in the history of things,n
I have just had to check that Lucy has not wet herself why is she so drunk,n
  or drunk I bought like 30 packs of ramen noodle and a shit load of totinos the other night Hahahaaa,n
 drinking tequila get drunk go to bed pass out forget Im single,y
bad idea to get really drunk when u have school tommorow haha fuck,y
what makes me happy Be drunk Haha kidding  ,n
Drunk at 537 on a Wednesday Sure why not Its the classy thing to dostress,y
last night outfit P sexy downtownlife drunk whitegirlwasted dress makeupartist ,n
I come home to my roommate blackout drunk emotionally blasting Britney Spears I have met my match,n
everyones drunk but me n cam fml,n
also im very shy but theyre too drunk too care takecareofdrunkgirls,n
not even 10 am amp im ready to be drunk,n
you dont have to be drunk or high to have fun,n
How the fuck am I still drunk,y
Idk if Im still drunk or hungover,y
The not hung over but drunk mood when you wake up gtgtgt,y
Why do I feel the need to text people when Im drunk,y
A Someone take my phone away next time I get drunk B Where am I,y
Till then just sit ur drunk ass on that fucking runway ho,n
My head hurts and I think Im still drunk,y
 alot of us were drunk,y
I got WAYYYYY to drunk last night ,y
Kali threw up next to me but I was so drunk I was passed out omg,y
Last night I recall that pictures were not loading on Twitter but now Im not sure if thats true or if I was just really drunk,y
I think I called everyone in my phone last night Im that drunk asshole Sorry everyone no more drinking for a while,y
 what can I say Im just extra thoughtful when Im drunk,y
 Headed straight for drunk tank rehab,y
 youre the best drunk,n
When a drunk girl in her 20s screams Oh my God I love this song you can be sure that song sucks,n
 yes its the same one He really didnt know how to treat women As I say he was only really caring when he was drunk ,n
And she was drunk so she was up amp down Everytime she moved kvele kuthi phafu umchako no fish ,n
Do you love this shit Are you drunk Do you ever get nervous,n
  Sorry I was too drunk to dial,y
Working for less than minimum wage is awesome esp if u have shitty boss and drunk costumers and ppl who dont tip on an order over 20 bucks,n
My brother is acting weird today I think hea drunk,n
Almost had to go there with this drunk mf last night but luckily security was there,n
Bees buzzing aboutdrunk on HONEY flying roundhits on each flowerbotaiku,n
Got a little too drunk last night,y
Drunk texts fml ,n
Wake up drunk shit hurt,n
this is nick updating my blog got so fucked up last night that i lost my phoneshoesglassesgot arrestedspent the night in the drunk tank,y
Not to mention Ed Sheeran and Beyonc singing acoustic Drunk in Love and Eddie Vedder and Beyonc singing Redemption Song,n
I was I should eat a sub from a convenience store drunk last night,y
 he was probably drunk I should have used that moment to let him talk all he wanted ,n
Id pick sleeping over my boyfriends house amp cuddling with him over going to a party amp getting drunk over anything ,y
Fucken drunk ass paisas everywhere   Arriba peruuuu ,y
Its not even 9 and Im drunk,y
i was the most drunk ive been in a really long time last night but i have no hangover,y
Drunk textingtalking lol,y
Shouldve drunk a lil something,y
  i have not heard im not even drunk mate uttered more since then,n
I dont know whether I was drunk or tired but I cant remember posting my snapchats,y
Ughhhh Im still drunk from last night ,y
Why does yubin talks like shes drunk,n
Im deffo drunk,y
The adventures of drunk neil,n
Love getting so drunk on pre drinks that I throw up all over my bathroom and pass out before Ive even left to go out,y
Stayed sober last night No drunk rants no impulsive appearances Finally got some sleep,n
 oh 100 Ive blackout drunk passed out at a festival and my instincts were so strong I held my bag close to my chest cuz I,y
Its been 4 hours and Im still drunk,y
bradyy  Drunk asf but regret nothing,y
 sad thing is Im not even drunk yet ,y
The paper notes an immense drinking problem among Finnish Americans and their often violent behavior when drunk Yep Thats us,n
I love hearing ppls drunk stories hahaha,n
 SO AM I  LAUGHS MELO IS DRUNK ATM HAHAHA,n
 theyre about 12 like shut up bet you got drunk on caprisuns,n
Whos tryna get day drunk,n
NowPlaying  Beyonce feat Jay Z  Drunk In Love,n
Glad drunk Erin made a alarm moral of the story WHOA GOALS ,n
its great when i get home too drunk to give a duck bout how i got here or what anybody thinks,y
Still drunkrollin up sour,y
I was so drunk last night,y
Im 30 amp my what I did at the weekend response is still I got blind drunk amp binged watched Netflix all without eating a single vegetable,y
Damn I was drunk as fuck last night ,y
 John cena would have drunk that all by now disappointed in you,n
IM REALLY DONE GETTING DRUNK,y
Kentucky rushed the field  Wtf I was p drunk,y
 i went out clubbing with a gal she was drunk had a pee in the trees amp fell over so i went over to pick her upshe layed face down,n
Regret getting so drunk last night I have 0 concentration,y
IM STILL DRUNK LMAO,y
Wish my friends were here to love me  hungoverstill drunk san is super needy,y
Every time I get drunk I feel the need to give everyone death stoppp freya,y
So theres this drunk guy who looks like Harvey Wippleman spewing up all over the pavement,n
Woke up drunk,y
I think drunk mode apps need to be invented for everyday conversations with me,y
Drunk,y
The best things in life either make u fat drunk or pregnant ,n
Ed Sheeran x Beyonce x Drunk in Love,n
cleav clearly dont worry amyjoness is still drunk too,n
when you call your parents drunk and then your phone dies gotta love them tho ,y
Deleting your drunk tweets is the new walk of shame,y
Well shall we get drunk then  ,n
 lol chill out fam Im still drunk,y
2EmChris lmaooo we didnt go out last night because we are going to a hotel today But I still got drunk and only partly hungover,y
 yes was ok i guess slightly drunk by end x,y
Yea ever get so drunk you try to type a paragraph that when you finally finish the whole thing looks like it needs to be unscrambled,y
Dear everyone Im drunk and online  Facebook will learn all my opinions,y
 yes you do like to do that  However I question a drunk mans ability to retain sound advice,n
Its not even three and Im already drunkLiving da life,y
 Drunk Zecois always thinks its a great idea ,y
Missed Our Damn Flight Fucking with his Drunk Ass,n
Every Balkan I got to I always end up meeting new people and I think everyone should go Bc ppl are so nice to eachother when theyre drunk,n
People that drive exactly the speed limit  I always think they must be drunk or have a car full of weed,n
One time I got so drunk at Kelseys school I sat down on the floor at a party and cried about wanting a burrito and a root beer,y
all my friends appear to still be drunk and Im very sober with a migraine,y
Couldnt text me back but could drunk call me at 3 am and wake me up,n
Ed Sheeran cantando Drunk In Love com Beyonce CA RA LHO,n
Yo ass drunk,n
Drunk calls gtgtgtgt,n
 hahah very drunk night,n
Not even gonna listen to these drunk voicemails ,n
got drunk as fuck with jakey ,y
 Drunk History remember ,n
 now I understand why Phil was so drunk,n
Drunk in love,n
Drunk me needs to learn not to text Am I right   ,y
We grown we all got shit to say But we drunk so its the right time,y
Omg say the cringiest things ever when im drunk,y
Dude came in last night drunk as the fuck and assaulted a Petty Officer  seen him at legal earlier,n
 go sleep luvyoure not drunk rightHAHA,n
Drunk in loooove,n
 shouldve Called me We couldve been drunk together ,n
Woke up still drunk ,y
1245 and Im drunk,y
 drunk,n
My drunk ass ,y
A Beyonc a cantar Drunk in Love com o Ed Sheeran Jesuuuus top top,n
s Note to self always have a back up thingy in case a drunk person puts their drink down,n
Theyre making me drunk the entire cup,n
Ive been high and drunk this entire weekend What a way to bring in a birthday NYC,y
Its not funny when ur to drunk to remember the hurtful shit u said the night before  handleyourliquorordontdrink,y
Ill take a drunk adventure over a dumb party any day,n
My friends amp I at Cortland forever getting drunk in our rooms on the weekend I come home amp all of a sudden bitches is drunk party hopping,n
   Best way to show support for girlssing drunk in loveyup makes sense ,n
Didnt even go out last night I was that drunk ,y
High  drunk sex be the best sex ,y
 are u drunk,n
when people dont shut up about being drunk ,n
 u had to be drunk lol,n
 no comment Im not drunk on the Johnny football juice like all of Cleveland,n
So tired of my brother coming home amp acting like a belligerent drunk at 9 AM,n
How you know Jesus is in town the whole town is drunk,n
i still havent done any work yet all i do is get drunk,y
beyonce and ed sang drunk in love what,n
I lost my wallet last night on some drunk shit,y
who are you Im that guy that cheyenne makes out with when shes drunk Im crying,n
 I Been Drunk 2 Days Straight ,y
waking up to Nae drunk messages ,y
ed sheeran and beyonce covering drunk in love together i want them to collaborate,n
Got drunk as Shit lastnight,y
Bass48 I passed out lmao too drunk,y
People talk to mucccccch when they drunk  ,n
whos the fuckin drunk bitch,n
Come to the club looking for drugs drunk fucking these sluts,n
The fact that you were not drunk with me last night makes me very sad  ,n
Maybe I should always get cray when Im drunk because I work up to my apartment already cleaned,n
When you wake up to 17 text messages from Lauren and dont read them because you know theyre all drunk texts ,n
2EmChris lmfaooo my sister was drunk as hell last night but she called to tell me not to get pregnant,n
Sis still in the bed passed out  she was way drunk last night,n
Any ever been so drunk that they shit on the floor and dont remember it whatthefuckhappenedlastnight,n
Didnt think I was this drunk,y
Not sure if hungover or still drunk,y
 drunk,n
No matter how drunk I am when I get home I always manage to take my makeup off at night ,y
Oops hessss already dead but Whoo cares laughs at  saying in my drunk voice falls on the floor,n
I wasnt drunk but if i took another one  Hell nah id be DONE ,y
 Every drunk dialtextsex or bad decision made under the influence will be in your name Scouts honour ,y
I look forward to the day my 40 yearold neighbor outgrows his screaming drunk blonde girlfriend and screaming pissed off brunette wife,n
Damn Im stil drunk,y
 okay just wanted to prevent you from drunk driving,n
 Hahahaha Im so raging I hate drunk me ,y
ive been drunkwhat a nice parade today in itea,y
    that was a piss take song when they were drunk still sounds better than all of their songs,n
This is the best drunk typo in a text ever Last night was crazy osteoarthritis ,y
To get drunk or not to get drunk hmmmm,n
We woke up drunk so we started drinking again lol,y
Things you dont like to hear your Saturday night  driver say Im drunk,n
 im sorr y lis omg im just drunk,y
 You caught me Im always drunk,n
Its not even 10am yet but I really want to play this until Im too drunk to stand up whos in ,y
Current trying to decide if Im still drunk or nah Its 945am and Im not wearing pants,y
Still drunk ,y
 I never knew anyone else drunk that,n
Jizz still drunk WAITN on tyonna to get off so we can go eat,n
I wanna get drunk as fuck,n
I average about 4 hours of sleep a day and somehow I last longer then these kids lol so FUCK YOU little drunk snapchat girl ,n
 out to eat my ass drunk drunk drunk,n
I get paid to get drunk and make sure I have a fresh haircut every Monday ,y
Ay man if you plan to get drunk Dont drive Thats not cool,n
Ed Sheeran and Beyonc performed together drunk in love,n
Yo I was drunk asf last nigh,y
I wanna be drunk,n
Friend Dude I wasnt THAT drunk Me Dude you gave a mushroom to a midget and kept yelling GROW MARIO GROW,n
Thats that drunk shit,n
 and  singing Drunk in Love together omg ,n
Waking up still drunk is so bittersweet,y
Drunk Lexie in action yall  ,n
Im sure hes high and drunk as shit but dont say he be raping girls,n
 drunk at half 12 Some things never change lightweight,n
Watching the sunrise over lake Malawi whilst drunk at a music festival was one of the best experiences of my life,y
 When I said A drunk viper I literally just imagined a drunk snake ,n
lets get drunk and fuck,n
MF My auto correctdrunk big thumbs issues,n
 so true I was drunk when I tweeted that lol,y
Really think Im still drunk ,y
Drunk as fuck,y
I didnt get drunk last night and Im ok with it,n
ed and beyonce singing drunk in love acoustic my mother and father have blessed me,n
Waking up and going through the drunk texts you sent people is really not the one,n
Texas Capitol pizza ice cream souvenirs drunk men men jumping rope the joy of finding public bathrooms an exhilarating wipeout 5k,n
Anddd I wasnt even drunk last night ,n
I was so drunk last night ,y
Now I have to go in to work I still feel drunk Fuuuck,y
shouldnt be allowed near a computer when drunk,y
 right I actually looked for them at one point but was too drunk to find themHaha,y
Im the one that got drunk lastnight but was up for church while my parents knocked ,y
Wow I got so many drunk snapchats last night glad I was in everyones thoughts ,n
Waking up still drunk as fuck Isnt that the best lol,y
If I drunk tweet mute me,n
Wondering if abdiel woke up since he was drunk last night ,n
Its really hard to drunk enough water when Im really busy at work I just dont think about it ,n
Hate it when people tell me the things I was doing when Ive been drunk its so embarrassing ,y
Another manager is here and we open in 15 and here I amstill drunk LOL,y
I Was So Drunk Lastnight,y
last night I got really drunk and got the hiccups so bad that I threw up then ate a hot pocket watched naruto and went to bed wild,y
Why are people so much cooler when Im drunk,y
Why am I good at directions when Im drunk,y
